Titre,Badge / numéro,Image,Texte,Couleur,Catégorie,Note
Préambule,AA,,Rencontre entre les auteurs et Sycorax,#ff6d01,Acte,Invocation des auteurs — Douglas et Isis — de l'ancienne esprit Sycorax qui hante encore l'île. Discussion avec cette entité du sens de la pièce et la signification des personnages et les intrigues possibles.
Acte I,AB,,la rencontre amoureuse,#ff6d01,Acte,"Une violente tempête fait naufrager un navire sur une île mystérieuse. On découvre que cette tempête a été provoquée par Prospero, ancien duc de Milan, exilé sur l'île avec sa fille Miranda. Il utilise la magie pour manipuler les événements et guider les naufragés. Ariel, un esprit serviteur de Prospero, aide à orchestrer la tempête."
Acte II,AC,,Coup de foudre contre complots,#ff6d01,Acte,"Les survivants du naufrage se retrouvent dispersés sur l'île. Alonso, le roi de Naples, est désespéré, croyant que son fils Ferdinand est mort. Antonio et Sébastien complotent pour tuer Alonso et usurper le trône. Pendant ce temps, Ferdinand rencontre Miranda, et ils tombent amoureux."
Acte III,AD,,Épreuves,#ff6d01,Acte,"Les survivants du naufrage se retrouvent dispersés sur l'île. Alonso, le roi de Naples, est désespéré, croyant que son fils Ferdinand est mort. Antonio et Sébastien complotent pour tuer leur énemies et usurper le trône. Pendant ce temps, deux amoureux se rencontrent pour la première fois et tombent éperdument sous le charme de l'amour."
Acte IV,AE,,Bénédiction,#ff6d01,Acte,"Prospero bénit l'union des amours avec une mascarade magique orchestrée par Ariel. Cependant, il interrompt la célébration pour s'occuper du complot ochestré auparavant. Il tend un piège aux complotistes, les humiliant et les chassant."
Acte V,AF,,Pardon et renoncement,#ff6d01,Acte,"Prospero décide de pardonner ses ennemis et renonce à sa magie. Il révèle son identité aux naufragés, réunit Alonso avec son fils Ferdinand et reprend son titre de duc de Milan. Ariel est libéré de son service, et Caliban est pardonné. La pièce se termine avec la promesse d'un retour à Milan et une paix retrouvée."
Epilogue,AG,,Dénouement des tensions,#ff6d01,Acte,Epilogue. Dénouement de toutes le tensions principales. Description des évenements qui ont précédé et le retour paisable à Milan.
Miranda,PA,,"Fille de Prospéro, La tempête (1610)",#cfcf00,Persona,Vous êtes la fille de Prospero. Vous avez grandi isolée sur l'île. Vous êtes innocente et curieuse et vous tombez facilement amoureuse. Vous représentez la pureté et l'empathie dans la pièce.
Ariel,PB,,"Esprit de l'air, La tempête (1610)",#cfcf00,Persona,Vous êtes un esprit aérien et le serviteur fidèle de Prospero. Vous aspirez à la liberté et utilisez vos pouvoirs magiques pour exécuter les ordres de votre maître. Vous symbolisez la magie et l'éthéré.
Ferdinand,PC,,"fils d'Alonso et roi de Naples, La tempête (1610)",#cfcf00,Persona,"Vous êtes le prince de Naples, fils d'Alonso. Naïf et noble, vous tombez éperdument amoureux lors de votre premier rencontre amoureux. Votre amour et votre dévouement représentent l'espoir et la renaissance."
Prospero,PD,,"Duc légitime de Milan, La tempête (1610)",#cfcf00,Persona,"Vous êtes le duc déchu de Milan, un magicien puissant et le père protecteur de Miranda. Vous utilisez la magie pour orchestrer votre vengeance et rétablir votre position. Vous symbolisez le pouvoir et la sagesse."
Antonio,PE,,"Frère de Prospero, usurpateur de Milan, La tempête (1610)",#cfcf00,Persona,"Vous êtes le frère de Prospero et l'usurpateur du duché de Milan. Ambitieux et sans scrupules, vous complotez sans cesse pour augmenter votre pouvoir. Vous incarnez la trahison et la soif de pouvoir."
Sébastien,PF,,"Frère d'Alonso, roi de Naples, La tempête (1610)",#cfcf00,Persona,"Vous êtes le frère d'Alonso, roi de Naples. Vous complotez avec Antonio pour tuer votre frère et prendre le trône. Vous représentez l'opportunisme et la duplicité."
Alonso,PG,,"Roi de Naples, La tempête (1610)",#cfcf00,Persona,Vous êtes le roi de Naples et le père de Ferdinand. Vous ressentez des remords pour avoir aidé Antonio à détrôner Prospero. Vous incarnez la culpabilité et la quête de rédemption.
Caliban,PH,,"fils de Sycorax, habitant de l'île, La tempête (1610)",#cfcf00,Persona,"Vous êtes le natif de l'île et le fils de Sycorax. Esclave de Prospero, vous êtes brut et rancunier, mais aussi une victime des circonstances. Vous symbolisez la sauvagerie et la lutte pour la liberté."
Miranda,PA,,"Fille de Prospéro, La tempête (1610)",#cfcf00,Persona,Vous êtes la fille de Prospero. Vous avez grandi isolée sur l'île. Vous êtes innocente et curieuse et vous tombez facilement amoureuse. Vous représentez la pureté et l'empathie dans la pièce.
Ariel,PB,,"Esprit de l'air, La tempête (1610)",#cfcf00,Persona,Vous êtes un esprit aérien et le serviteur fidèle de Prospero. Vous aspirez à la liberté et utilisez vos pouvoirs magiques pour exécuter les ordres de votre maître. Vous symbolisez la magie et l'éthéré.
Ferdinand,PC,,"fils d'Alonso et roi de Naples, La tempête (1610)",#cfcf00,Persona,"Vous êtes le prince de Naples, fils d'Alonso. Naïf et noble, vous tombez éperdument amoureux lors de votre premier rencontre amoureux. Votre amour et votre dévouement représentent l'espoir et la renaissance."
Prospero,PD,,"Duc légitime de Milan, La tempête (1610)",#cfcf00,Persona,"Vous êtes le duc déchu de Milan, un magicien puissant et le père protecteur de Miranda. Vous utilisez la magie pour orchestrer votre vengeance et rétablir votre position. Vous symbolisez le pouvoir et la sagesse."
Antonio,PE,,"Frère de Prospero, usurpateur de Milan, La tempête (1610)",#cfcf00,Persona,"Vous êtes le frère de Prospero et l'usurpateur du duché de Milan. Ambitieux et sans scrupules, vous complotez sans cesse pour augmenter votre pouvoir. Vous incarnez la trahison et la soif de pouvoir."
Sébastien,PF,,"Frère d'Alonso, roi de Naples, La tempête (1610)",#cfcf00,Persona,"Vous êtes le frère d'Alonso, roi de Naples. Vous complotez avec Antonio pour tuer votre frère et prendre le trône. Vous représentez l'opportunisme et la duplicité."
Alonso,PG,,"Roi de Naples, La tempête (1610)",#cfcf00,Persona,Vous êtes le roi de Naples et le père de Ferdinand. Vous ressentez des remords pour avoir aidé Antonio à détrôner Prospero. Vous incarnez la culpabilité et la quête de rédemption.
Caliban,PH,,"fils de Sycorax, habitant de l'île, La tempête (1610)",#cfcf00,Persona,"Vous êtes le natif de l'île et le fils de Sycorax. Esclave de Prospero, vous êtes brut et rancunier, mais aussi une victime des circonstances. Vous symbolisez la sauvagerie et la lutte pour la liberté."
Sycorax,,,"Infâme sorcière bannie sur l'île pour avoir pratiqué la sorcellerie, La tempête (1610)",#cfcf00,Persona,"Sorcière. Vous êtes une entité mystérieuse et puissante, qui a survécu à travers les âges. Vous êtes la gardienne des secrets anciens et la protectrice de votre fils, Caliban. Vous avez le pouvoir de contrôler les éléments et de communiquer avec les esprits. Vous êtes une force de la nature, qui incarne la magie et la sagesse des anciens temps."
Douglas,,,Co-auteur,#cfcf00,Persona,Douglas est le co-auteur de cette ré-interprétation de la Tempête de Shakespeare. Douglas est artiste.
Isis,,,Co-auteure,#cfcf00,Persona,Isis est la co-autrice de cette ré-interprétation de la Tempête de Shakespeare. Isis est metteuse en scène et dramaturge.
Assassinat,IA,,Un complot se forme,#e51919,Intrigue,"Un complot se forme pour éliminer un leader afin de prendre le pouvoir, révélant la noirceur de l'ambition humaine."
Coup-de-foudre,IB,,Deux âmes se rencontrent,#e51919,Intrigue,"Deux âmes se rencontrent et tombent immédiatement amoureuses, symbolisant l'amour pur et instantané."
Désobéisance,IC,,Une rébellion se prépare,#e51919,Intrigue,"Une rébellion se prépare contre une autorité établie, mettant en lumière les luttes pour la liberté et le pouvoir."
Vengeance,ID,,Un individu orchestre une série d'événements pour punir celles et ceux qui l'ont trahi,#e51919,Intrigue,"Un individu orchestre une série d'événements pour punir celles et ceux qui l'ont trahi, utilisant des moyens extraordinaires pour atteindre ses objectifs."
Renoncement,IE,,Un personnage abandonne ses ambitions,#e51919,Intrigue,"Un personnage abandonne des pouvoirs ou des ambitions pour choisir le pardon et la réconciliation, marquant un tournant vers la paix."
Révélation,IF,,Des apparitions influencent et manipulent,#e51919,Intrigue,Un secret est révélé aux personnages. Leur existence est chamboulée.
Cosmologie,IG,,Description de l'univers et du temps,#e51919,Intrigue,"Une description de l'univers chaotique d'où émerge tempêtes et amour. Le fond temporelle et celui d'un temps suspendu, l'espace-temps flottant d'une pièce et de sa mise-en-scène. Un espace liminal entre deux mondes. Avant que n'existent la mer, la terre et le ciel qui couvre tout, la nature dans l'univers entier ne présentait qu'un seul aspect, que l'on nomma Chaos. C'était une masse grossière et confuse, rien d'autre qu'un amas inerte, un entassement de semences de choses, d'éléments divisés et mal joints. C'est le temps et l'espace d'une pièce de théâtre où nous sommes faits de l'étoffe dont sont tissés les songes, et notre vie si courte a pour frontière un sommeil."
Plage,LA,,vagues de la mer,#09cbcb,Lieu,Vagues de la mer.
Tempête,LB,,vents violents,#09cbcb,Lieu,Vents violents.
Clarière,LC,,nuit paisible,#09cbcb,Lieu,Nuit paisible.
Champ,LD,,printannier,#09cbcb,Lieu,Printannier.
Caverne,LE,,lugubre ,#09cbcb,Lieu,Lugubre.
Forêt,LF,,mystérieux,#09cbcb,Lieu,Mystérieux.
Fontaine,LG,,mélodie joyeuse,#09cbcb,Lieu,La mélodie joyeuse de l'eau qui coule.
Cosmos,LH,,bruit cosmique,#09cbcb,Lieu,Le bruit des muons qui traverse la terre à toute vitesse.